campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041827,IT DIRECTOR,Univ Staff - Information Tech.,100,"$131,126.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1041828,LECTURER,Other Faculty,22.5,"$6,600.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30116 -- CAP-Admin & Instruction Svcs,CAP-Admin & Instruction Svcs,R25-1041835,IT PRGM MGR,Univ Staff - Information Tech.,100,"$89,629.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30101 -- CLAS-Modern Language,CLAS-Modern Language,R25-1041841,LECTURER,Other Faculty,2.5,"$34,644.00",0
CU Denver,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0106 -- U-ADM AF Senior VC - Denver,ADM AVCOIT Administration,R25-1041851,IT ENTRY PROFESSIONAL,Univ Staff - Information Tech.,100,"$60,919.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30098 -- CLAS-English,CLAS-English,R25-1041879,SENIOR INSTRUCTOR,Regular Faculty,100,"$78,081.00",2
CU Denver,D0020 -- D-CAM-DEAN OF ARTS & MEDIA,30120 -- CAM-Visual Arts,CAM-Visual Arts,R25-1041880,LECTURER,Other Faculty,45,"$31,518.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041882,ASSOCIATE PROFESSOR,Regular Faculty,100,"$100,802.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041882,ASSISTANT PROFESSOR,Regular Faculty,2.5,"$37,708.00",2
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1041901,ASSOCIATE PROFESSOR,Regular Faculty,100,"$107,624.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1041901,ASSOCIATE PROFESSOR,Regular Faculty,2.5,"$5,730.00",1
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1041901,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$14,000.00",2
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1041901,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$15,000.00",3
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30106 -- CLAS-Mathematics,CLAS-Mathematics,R25-1041906,LECTURER,Other Faculty,67.5,"$14,031.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30116 -- CAP-Admin & Instruction Svcs,CAP-Admin & Instruction Svcs,R25-1041909,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$65,000.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30070 -- SEHD CPE,SEHD CPE,R25-1041923,SENIOR INSTRUCTOR,Regular Faculty,100,"$79,156.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041929,PROFESSOR,Regular Faculty,100,"$182,277.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041929,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$10,000.00",2
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041929,PROFESSOR,Regular Faculty,2.5,"$5,833.00",3
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041929,PROFESSOR,Regular Faculty,2.5,"$15,000.00",4
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041929,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$15,000.00",5
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,U0040 -- U-AVC Academic Planning,AVCAP-I/R & Effectiveness,R25-1041938,EXECUTIVE DIRECTOR,Univ Staff - Executive,100,"$156,046.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1041942,TEACHING PROFESSOR,Regular Faculty,100,"$63,848.00",0
