campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031717,HR PRINCIPAL PRO,Univ Staff - Human Resources,100,"$94,497.00",0
System Administration,S0013 -- S-VPAAR-VPAA & Research,S0014 -- S-VPAAR-Operations,Academic Affairs,R25-1031730,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,100,"$80,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031810,IT DIRECTOR,Univ Staff - Information Tech.,100,"$175,128.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031837,IT DIRECTOR,Univ Staff - Information Tech.,100,"$170,170.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031848,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$104,537.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031875,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$83,446.00",0
System Administration,50078 -- CU Health Plan Administration,,CU Health Plan Administration,R25-1031952,FINANCE/ACCTG PRGM DIR,Univ Staff- Finance & Acct.,100,"$139,322.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031955,ASST VICE PRESIDENT,Univ Staff - Executive,100,"$206,832.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032024,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$100,786.00",0
System Administration,S0008 -- S-Office of President,50017 -- Office of the President,Office of the President,R25-1032044,LEGAL SUPPORT PROFESSIONAL,Univ Staff - Audit and Legal,100,"$88,427.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032198,IT PRGM MGR,Univ Staff - Information Tech.,100,"$107,962.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032212,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$112,917.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1032269,FINANCE/ACCTG PRGM MGR,Univ Staff- Finance & Acct.,100,"$88,000.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1032277,DEVELOPMENT PROFESSIONAL,Univ Staff - Development,100,"$53,733.00",0
System Administration,50078 -- CU Health Plan Administration,,CU Health Plan Administration,R25-1032362,FINANCE/ACCTG DIRECTOR,Univ Staff- Finance & Acct.,100,"$154,138.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1032457,COMMUNICATION PRINCIPAL PR,Univ Staff - Communication,100,"$80,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032499,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$91,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032558,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$95,905.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1032584,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$102,279.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1032649,LEGAL SUPPORT PROFESSIONAL,Univ Staff - Audit and Legal,100,"$88,065.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032789,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$100,816.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032852,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$108,578.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1032857,IT PRGM MGR,Univ Staff - Information Tech.,100,"$123,931.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1032879,DEVELOPMENT MANAGER,Univ Staff - Development,100,"$92,580.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033010,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$83,507.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1033061,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$94,000.00",0
System Administration,S0008 -- S-Office of President,50003 -- Internal Audit,Internal Audit,R25-1033073,AUDIT MANAGER,Univ Staff - Audit and Legal,100,"$133,900.00",0
System Administration,S0008 -- S-Office of President,50003 -- Internal Audit,Internal Audit,R25-1033103,AUDIT MANAGER,Univ Staff - Audit and Legal,100,"$115,809.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1033111,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$89,166.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1033174,LEGAL SUPPORT PROFESSIONAL,Univ Staff - Audit and Legal,100,"$76,210.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033217,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$78,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50021 -- Budget and Finance,Budget and Finance,R25-1033226,FINANCE/ACCTG ASST DIR,Univ Staff- Finance & Acct.,100,"$146,328.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1033238,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,100,"$101,751.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033247,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$101,570.00",0
System Administration,S0003 -- S-Regent Operations,50001 -- Board of Regents,Board of Regents,R25-1033344,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,100,"$121,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1033532,FINANCE/ACCTG MANAGER,Univ Staff- Finance & Acct.,100,"$86,157.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033598,IT MANAGER,Univ Staff - Information Tech.,100,"$122,866.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033638,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$117,636.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1033701,RESEARCH COUNSEL,Univ Staff - Audit and Legal,100,"$113,003.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1033792,HR PRINCIPAL PRO,Univ Staff - Human Resources,100,"$74,160.00",0
System Administration,S0010 -- S-VPA-Administration,S0012 -- S-VPA-Operations,Government Relations,R25-1033883,EXTERNAL RELATIONS PRGM DIR,Univ Staff- External Relations,100,"$150,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1033927,HR MANAGER,Univ Staff - Human Resources,100,"$92,700.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1033928,IT ASST DIR,Univ Staff - Information Tech.,100,"$147,876.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1033950,BUSINESS SERVICES MANAGER,Univ Staff - Business Services,100,"$97,850.00",0
