campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,Student Legal Services,R25-1039267,ATTORNEY,Univ Staff - Audit and Legal,100,"$109,221.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1039269,FOOD SERVICE SUPERVISOR,US-Auxilliary Funding (CS),100,"$53,902.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,JILA,R25-1039274,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$119,889.00",0
CU Boulder,B0206 -- B-Athletics,B0004 -- B-Intercollegiate Athletics,Athletics-Business Affairs,R25-1039276,LTC OPERATIONS II,"Class Staff-Labor,Trades&Crfts",100,"$110,124.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039282,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$59,000.00",3
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Coop Inst Res/Envrm Sci - Dir,R25-1039286,SR PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$132,259.00",0
CU Boulder,B0295 -- Health & Wellness Svcs,10381 -- Counseling & Psych Services,Counseling & Psych Services,R25-1039287,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$99,648.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,"B0031 -- B-VCAA-Dn,CE & AVC, Sum Sess",Cont. Ed - Evening&Cred Admin,R25-1039291,LECTURER,Other Faculty,66,"$14,918.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Biology-MCD Instruction,R25-1039292,PROFESSIONAL RESEARCH ASST,Research Faculty,50,"$22,808.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Biofrontiers Institute,R25-1039292,PROFESSIONAL RESEARCH ASST,Research Faculty,2.5,"$1,244.00",1
CU Boulder,B0087 -- B-VC for Student Life,B0100 -- B-VCSA-Dean of Students,Career Services,R25-1039293,STUDENT SERVICES PRGM DIRECTOR,Univ Staff - Student Services,100,"$75,000.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,Off-Campus Life,R25-1039295,STUDENT SERVICES SENIOR PROF,Univ Staff - Student Services,100,"$74,384.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,Env Health & Safety,R25-1039296,RESEARCH SERVICES DIRECTOR,Univ Staff - Research Services,100,"$153,479.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Museum-Administration,R25-1039297,PROFESSOR,Regular Faculty,100,"$150,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1039301,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,100,"$103,511.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039302,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$59,500.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1039304,DINING SERVICES I,"Class Staff-Labor,Trades&Crfts",100,"$49,008.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,Mortenson Center,R25-1039307,FINANCE/ACCTG SENIOR PROF,Univ Staff- Finance & Acct.,100,"$80,471.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Physics,R25-1039308,ASSOCIATE PROFESSOR,Regular Faculty,100,"$117,018.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0100 -- B-VCSA-Dean of Students,Career Services,R25-1039309,STUDENT SERVICES PROFESSIONAL,Univ Staff - Student Services,100,"$58,085.00",0
CU Boulder,B0206 -- B-Athletics,B0004 -- B-Intercollegiate Athletics,Athletics-Business Affairs,R25-1039310,HEAD ATHLETIC COACH,Univ Staff - Athletics,100,"$118,976.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,"B0083 -- VCAA-CollComm,Media,Dsgn&Info","CollComm,Media,Dsgn&Info-Dn",R25-1039314,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,100,"$85,597.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039315,LECTURER,Other Faculty,30,"$10,000.00",0
CU Boulder,B0119 -- B-Human Resources,B0120 -- B-Human Resources,Human Resources,R25-1039316,HR PROGRAM MGR,Univ Staff - Human Resources,100,"$90,464.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Lab Atmos/Space Physics,R25-1039317,ASSOCIATE PROFESSOR,Regular Faculty,100,"$135,121.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,APS-Astro&Planet Sciences,R25-1039317,ASSOC CHAIR,Administrative Faculty,2.5,"$3,378.00",3
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,I&R Business Services,R25-1039319,FINANCE/ACCTG ASST DIR,Univ Staff- Finance & Acct.,100,"$124,696.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Geography,R25-1039321,PROFESSOR,Regular Faculty,100,"$143,412.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Geography,R25-1039321,ASSOC CHAIR,Administrative Faculty,2.5,"$3,585.00",1
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039325,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$57,866.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0013 -- B-Enrollment Management,Domestic Admissions-Operations,R25-1039329,ACADEMIC SERVICES ASST DIR,Univ Staff - Academic Services,100,"$76,960.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Poli Sci-Political Science,R25-1039330,ASSOC CHAIR,Administrative Faculty,2.5,"$2,426.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Poli Sci-Political Science,R25-1039330,TEACHING PROFESSOR,Regular Faculty,100,"$97,031.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,Computer Science,R25-1039331,TEACHING PROFESSOR,Regular Faculty,100,"$126,849.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Asian Lang&Civilizations,R25-1039332,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,100,"$69,458.00",1
CU Boulder,B0222 -- B-SVC-Assoc VC for IT and CIO,10948 -- Office Information Technology,Office Information Technology,R25-1039333,IT PRGM MGR,Univ Staff - Information Tech.,100,"$128,170.00",3
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,Recreation Services,R25-1039334,FAC RECREATIONAL INSTRUCTOR,Other Faculty,2.5,"$1,352.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,Recreation Services,R25-1039334,FAC RECREATIONAL INSTRUCTOR,Other Faculty,2.5,"$1,872.00",1
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,Recreation Services,R25-1039336,TEMPORARY INSTRUCTIONAL FAC,Other Faculty,2.5,"$5,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1039337,HR SENIOR PROF,Univ Staff - Human Resources,100,"$70,000.00",0
