campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
UCCS,C0011 -- AA-College of Engineering,40042 -- EAS-Administrative Operations,EAS-Administrative Operations,R25-1007506,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$45,000.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1007600,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$42,640.00",0
UCCS,C0029 -- VCEMSA-Admin Operations,C0040 -- VCSA-ACAD SUPPORT & ENGAGEMENT,VCEMSA-RESIDENCE LIFE,R25-1007634,STUDENT SERVICES PRGM MANAGER,Univ Staff - Student Services,100,"$48,803.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40077 -- LAS-Psychology,LAS-Psychology,R25-1007846,BUSINESS SERVICES PRGM DIR,Univ Staff - Business Services,60,"$46,397.00",0
UCCS,C0029 -- VCEMSA-Admin Operations,C0040 -- VCSA-ACAD SUPPORT & ENGAGEMENT,VCEMSA-Military Stu Affairs,R25-1007927,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$48,000.00",0
UCCS,C0007 -- AA-Administration,40020 -- AA-Sponsored Research,AA-Sponsored Research,R25-1007963,EXECUTIVE DIRECTOR,Univ Staff - Executive,100,"$150,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007996,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$66,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007996,ASST TEACHING PROFESSOR-ST,Regular Faculty,2.5,$625.00,1
UCCS,C0007 -- AA-Administration,40246 -- AA-BIOFRONTIERS-UCCS CNTR,AA-BIOFRONTIERS-UCCS CNTR,R25-1008081,VISITING RESEARCH ASSOCIATE,Research Faculty,60,"$36,504.00",0
UCCS,C0009 -- AA-College of Business,40025 -- BUS-Administrative Ops,BUS-Administrative Ops,R25-1008123,IT PRGM MGR,Univ Staff - Information Tech.,100,"$71,500.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1008171,LECTURER,Other Faculty,7.5,$600.00,0
